title,primary_language,year,genres_str,movieId,genres_list
Top Gun: Maverick,English,2022,"Action, Drama",9000052,"['Action', 'Drama']"
Avatar: The Way of Water,English,2022,"Action, Adventure, Fantasy",9000053,"['Action', 'Adventure', 'Fantasy']"
The Batman,English,2022,"Action, Crime, Drama",9000054,"['Action', 'Crime', 'Drama']"
Dune,English,2021,"Action, Adventure, Sci-Fi",9000055,"['Action', 'Adventure', 'Sci-Fi']"
Dune: Part Two,English,2024,"Action, Adventure, Sci-Fi",9000056,"['Action', 'Adventure', 'Sci-Fi']"
John Wick: Chapter 4,English,2023,"Action, Crime, Thriller",9000057,"['Action', 'Crime', 'Thriller']"
Guardians of the Galaxy Vol. 3,English,2023,"Action, Adventure, Comedy",9000058,"['Action', 'Adventure', 'Comedy']"
Spider-Man: Across the Spider-Verse,English,2023,"Animation, Action, Adventure",9000059,"['Animation', 'Action', 'Adventure']"
Everything Everywhere All at Once,English,2022,"Action, Adventure, Comedy",9000060,"['Action', 'Adventure', 'Comedy']"
No Time to Die,English,2021,"Action, Adventure, Thriller",9000061,"['Action', 'Adventure', 'Thriller']"
Tenet,English,2020,"Action, Sci-Fi, Thriller",9000062,"['Action', 'Sci-Fi', 'Thriller']"
Soul,English,2020,"Animation, Adventure, Comedy",9000063,"['Animation', 'Adventure', 'Comedy']"
A Quiet Place Part II,English,2020,"Drama, Horror, Sci-Fi",9000064,"['Drama', 'Horror', 'Sci-Fi']"
The Super Mario Bros. Movie,English,2023,"Animation, Adventure, Comedy",9000065,"['Animation', 'Adventure', 'Comedy']"
Mission: Impossible - Dead Reckoning Part One,English,2023,"Action, Adventure, Thriller",9000066,"['Action', 'Adventure', 'Thriller']"
Deadpool & Wolverine,English,2024,"Action, Comedy, Sci-Fi",9000067,"['Action', 'Comedy', 'Sci-Fi']"
Godzilla x Kong: The New Empire,English,2024,"Action, Adventure, Sci-Fi",9000068,"['Action', 'Adventure', 'Sci-Fi']"
Furiosa: A Mad Max Saga,English,2024,"Action, Adventure, Sci-Fi",9000069,"['Action', 'Adventure', 'Sci-Fi']"
Inside Out 2,English,2024,"Animation, Adventure, Comedy",9000070,"['Animation', 'Adventure', 'Comedy']"
